YEAR,THOUGHT,PLAN,ATTEMPT
2008,3.5,0.9,0.4
2009,3.5,1,0.4
2010,3.8,1.1,0.5
2011,3.4,1,0.4
2012,3.6,1.1,0.5
2013,3.8,1,0.5
2014,3.9,1,0.4
2015,3.9,1.1,0.5
