YEAR,THOUGHT,PLAN,ATTEMPT
2008,3.7,1,0.5
2009,3.7,1,0.5
2010,3.8,1.1,0.5
2011,3.7,1,0.5
2012,3.9,1.1,0.6
2013,3.9,1.1,0.6
2014,3.9,1.1,0.5
2015,4,1.1,0.6
